Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 75.0.3770.142,,,2019-07-23 19:22:55,2019-07-23 19:23:04,9.010s,INCOMPLETE
,,,,,,,
Test Cases/Day2/Test1,Chrome 75.0.3770.142,,,2019-07-23 19:22:55,2019-07-23 19:23:04,8.822s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-23 19:22:55,2019-07-23 19:22:59,3.626s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 75.0.3770.142,,,2019-07-23 19:22:59,2019-07-23 19:23:00,0.980s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_LOGIN Panel_txtUsername""), ""Admin"")",Chrome 75.0.3770.142,,,2019-07-23 19:23:00,2019-07-23 19:23:00,0.246s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_txtPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 75.0.3770.142,,,2019-07-23 19:23:00,2019-07-23 19:23:01,0.661s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_Submit""))",Chrome 75.0.3770.142,,,2019-07-23 19:23:01,2019-07-23 19:23:02,1.154s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Performance""))",Chrome 75.0.3770.142,,,2019-07-23 19:23:02,2019-07-23 19:23:02,0.279s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/b_Time""))",Chrome 75.0.3770.142,,,2019-07-23 19:23:02,2019-07-23 19:23:02,0.332s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Welcome Admin""))",Chrome 75.0.3770.142,,,2019-07-23 19:23:02,2019-07-23 19:23:03,0.100s,PASSED
"waitForElementPresent(findTestObject(""Page_OrangeHRM/a_Logout""), 5)",Chrome 75.0.3770.142,,,2019-07-23 19:23:03,2019-07-23 19:23:03,0.061s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 75.0.3770.142,,,2019-07-23 19:23:03,2019-07-23 19:23:03,0.287s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-23 19:23:03,2019-07-23 19:23:04,0.720s,PASSED
